ExtremeAbsMode1-Value,ExtremeAbsMode1-freq,ExtremeAbsMode2-Value,ExtremeAbsMode2-freq,ExtremeAbsMode3-Value,ExtremeAbsMode3-freq,ExtremeAbsMode4-Value,ExtremeAbsMode4-freq,ExtremeAbsMode5-Value,ExtremeAbsMode5-freq,ExtremeDiffMode1-Value,ExtremeDiffMode1-freq,ExtremeDiffMode2-Value,ExtremeDiffMode2-freq,ExtremeDiffMode3-Value,ExtremeDiffMode3-freq,ExtremeDiffMode4-Value,ExtremeDiffMode4-freq,ExtremeDiffMode5-Value,ExtremeDiffMode5-freq,ExtremeTrendMode1-Value,ExtremeTrendMode1-freq,ExtremeTrendMode2-Value,ExtremeTrendMode2-freq,ExtremeTrendMode3-Value,ExtremeTrendMode3-freq,ExtremeTrendMode4-Value,ExtremeTrendMode4-freq,ExtremeTrendMode5-Value,ExtremeTrendMode5-freq,ExtremePowerMode1-Value,ExtremePowerMode1-freq,ExtremePowerMode2-Value,ExtremePowerMode2-freq,ExtremePowerMode3-Value,ExtremePowerMode3-freq,ExtremePowerMode4-Value,ExtremePowerMode4-freq,ExtremePowerMode5-Value,ExtremePowerMode5-freq,ExtremePower2Mode1-Value,ExtremePower2Mode1-freq,ExtremePower2Mode2-Value,ExtremePower2Mode2-freq,ExtremePower2Mode3-Value,ExtremePower2Mode3-freq,ExtremePower2Mode4-Value,ExtremePower2Mode4-freq,ExtremePower2Mode5-Value,ExtremePower2Mode5-freq,ExpertResult
 0.039, 0.684, 0.038, 0.610,0,0,0,0,0,0, 0.024, 0.684, 0.014, 0.610,0,0,0,0,0,0, 0.039, 0.684, 0.038, 0.610,0,0,0,0,0,0, 0.059, 0.684, 0.020, 0.610,0,0,0,0,0,0, 0.131, 0.684, 0.056, 0.610,0,0,0,0,0,0,9
 0.300, 0.879, 0.283, 0.610, 0.252, 0.757, 0.231, 1.001, 0.224, 0.659, 0.128, 0.879, 0.075, 1.538, 0.070, 0.757, 0.065, 1.147, 0.063, 1.001, 0.300, 0.879, 0.283, 0.610, 0.252, 0.757, 0.231, 1.001, 0.224, 0.659, 0.290, 0.879, 0.219, 1.782, 0.198, 1.147, 0.178, 1.538, 0.165, 1.318, 1.279, 0.879, 1.067, 0.659, 0.943, 1.001, 0.841, 1.782, 0.826, 0.757,9
 0.220, 0.610, 0.205, 0.708, 0.177, 0.781, 0.166, 0.928, 0.135, 1.001, 0.073, 1.880, 0.062, 1.685, 0.056, 0.781, 0.054, 2.271, 0.053, 1.294, 0.220, 0.610, 0.205, 0.708, 0.177, 0.781, 0.166, 0.928, 0.135, 1.001, 0.308, 0.781, 0.226, 2.173, 0.206, 1.880, 0.171, 1.685, 0.110, 1.294, 0.910, 0.781, 0.711, 0.708, 0.623, 1.880, 0.615, 2.173, 0.571, 0.610,9
 1.000, 0.610, 0.781, 0.830, 0.710, 0.659, 0.696, 0.708, 0.618, 1.636, 0.391, 0.830, 0.339, 1.807, 0.247, 4.614, 0.233, 0.610, 0.228, 1.270, 1.000, 0.610, 0.781, 0.830, 0.710, 0.659, 0.696, 0.708, 0.618, 1.636, 2.779, 0.830, 0.849, 1.270, 0.670, 1.807, 0.579, 2.026,0,0, 5.679, 0.830, 2.446, 1.270, 1.974, 0.977, 1.966, 0.659, 1.850, 1.074,9
 0.145, 0.610, 0.114, 0.659, 0.093, 0.708, 0.087, 0.854, 0.079, 0.928, 0.052, 0.854, 0.044, 0.928, 0.038, 2.466, 0.037, 0.610, 0.037, 1.807, 0.145, 0.610, 0.114, 0.659, 0.093, 0.708, 0.087, 0.854, 0.079, 0.928, 0.168, 0.854, 0.119, 0.928, 0.117, 1.147, 0.094, 1.807, 0.085, 0.708, 0.330, 0.854, 0.298, 0.659, 0.279, 0.928, 0.260, 1.147, 0.238, 0.610,9
 0.480, 0.781, 0.458, 2.075, 0.450, 1.978, 0.448, 0.635, 0.420, 0.708, 0.235, 1.978, 0.214, 2.075, 0.213, 0.903, 0.211, 1.099, 0.190, 0.781, 0.480, 0.781, 0.458, 2.075, 0.450, 1.978, 0.448, 0.635, 0.420, 0.708, 0.869, 0.903, 0.641, 1.978, 0.627, 1.099, 0.523, 2.075, 0.511, 0.781, 2.025, 1.978, 1.925, 2.075, 1.723, 1.099, 1.515, 0.903, 1.482, 0.708,9
 0.064, 1.782, 0.059, 0.635, 0.051, 0.806, 0.041, 1.855, 0.040, 0.879, 0.039, 1.782, 0.036, 0.635, 0.029, 0.806, 0.025, 1.855, 0.018, 1.611, 0.064, 1.782, 0.059, 0.635, 0.051, 0.806, 0.041, 1.855, 0.040, 0.879, 0.116, 0.635, 0.096, 1.782, 0.084, 1.855, 0.060, 0.806, 0.059, 0.952, 0.171, 1.782, 0.165, 0.635, 0.145, 0.952, 0.145, 0.806, 0.117, 0.879,9
 0.292, 0.610, 0.147, 0.684,0,0,0,0,0,0, 0.173, 0.610, 0.090, 0.684,0,0,0,0,0,0, 0.292, 0.610, 0.147, 0.684,0,0,0,0,0,0, 0.364, 0.610, 0.197, 0.684,0,0,0,0,0,0, 0.506, 0.610, 0.386, 0.684,0,0,0,0,0,0,9
 0.068, 2.295, 0.046, 0.684, 0.044, 0.732, 0.039, 0.830, 0.038, 3.271, 0.060, 2.295, 0.031, 3.271, 0.024, 0.732, 0.023, 0.684, 0.018, 0.830, 0.068, 2.295, 0.046, 0.684, 0.044, 0.732, 0.039, 0.830, 0.038, 3.271, 0.178, 2.295, 0.057, 0.732, 0.041, 3.271, 0.040, 0.830,0,0, 0.195, 2.295, 0.127, 0.732, 0.110, 0.830, 0.091, 0.684, 0.066, 3.271,8
 0.105, 2.295, 0.098, 2.368, 0.092, 0.659, 0.091, 0.610, 0.067, 0.708, 0.069, 2.368, 0.049, 2.295, 0.033, 0.659, 0.025, 2.197, 0.024, 3.174, 0.105, 2.295, 0.098, 2.368, 0.092, 0.659, 0.091, 0.610, 0.067, 0.708, 0.343, 2.368, 0.135, 2.295, 0.131, 2.197,0,0,0,0, 0.393, 2.295, 0.372, 2.368, 0.216, 0.977, 0.216, 0.708, 0.212, 0.659,8
